approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
2:13.7 - 2:15.2,3769.0,1080.8,-0.1,-0.0,5765.2,2913.4,4420.8,588.5,-0.1,-0.6,881.2,5775.4,177.2,-1.4,0.0,27.0,9444.0,139.6,0.0017918464
2:15.2 - 2:16.7,21591.0,1797.1,0.6,20.1,21503.8,4600.8,3684.4,928.2,-0.1,0.3,1796.1,5429.9,359.7,-1.1,-0.0,35.1,-26132.0,615.1,0.8507766
2:16.7 - 2:18.2,26381.0,6341.0,-0.4,3.6,32812.4,3067.0,6237.2,354.4,5.5,-0.6,3434.3,8890.4,343.0,-7.3,-0.0,22.1,-6387.0,1196.4,0.97271234
2:18.2 - 2:19.7,23840.0,4955.6,-0.0,1.0,23798.5,911.5,5901.1,132.4,1.0,0.1,387.4,8894.7,66.5,-0.1,0.0,9.5,-19219.0,2504.6,0.8239962
2:19.7 - 2:21.2,24122.0,5318.4,-0.0,0.9,25121.5,761.6,5983.0,137.6,0.6,0.6,647.5,8895.4,81.6,-0.3,-0.0,,-16333.0,,0.014794155
2:21.2 - 2:22.7,22281.0,5217.1,-0.1,0.9,26576.6,1068.1,6035.6,172.4,0.8,0.7,790.5,8884.3,85.5,-1.2,-0.0,10.3,-16718.0,2154.5,0.049889993
2:22.7 - 2:24.1,20586.0,4197.6,-0.0,1.3,20540.4,854.5,5953.2,150.7,0.2,0.4,661.7,8860.7,86.3,-0.9,-0.0,2.8,-24807.0,7263.7,0.011282508
2:24.1 - 2:25.6,23470.0,4593.5,-0.0,2.0,28904.1,835.2,5827.5,136.8,2.2,1.1,674.3,8914.6,85.9,-0.5,0.0,10.3,-13200.0,2272.4,0.020243697
2:25.6 - 2:27.1,23949.0,4805.4,0.0,1.7,30090.4,686.1,5876.4,122.1,2.1,1.1,697.3,8839.5,83.6,-0.7,-0.0,11.5,-11535.0,2084.5,0.0303463
2:27.1 - 2:28.6,24665.0,5451.3,-0.0,1.1,31787.9,1043.0,5890.8,165.6,1.9,1.1,747.0,8857.9,97.0,-0.4,0.0,10.5,-9120.0,2343.6,0.03246588
2:28.6 - 2:30.1,21904.0,3666.6,-0.0,2.2,21856.2,798.4,5900.9,143.0,0.6,0.6,658.6,8867.1,77.2,-0.5,0.0,14.0,-22485.0,1565.0,0.03285439
2:30.1 - 2:31.6,23186.0,4324.7,0.0,1.3,27279.1,1457.4,5931.1,187.9,10.8,2.5,653.3,8873.6,95.0,-0.2,0.0,14.0,-15111.0,1656.3,0.027116165
2:31.6 - 2:33.1,22681.0,3279.5,0.0,2.0,25099.7,1955.2,5956.2,241.5,10.4,2.7,651.8,8851.9,90.6,-0.5,-0.0,16.7,-17802.0,1358.6,0.02534258
2:33.1 - 2:34.6,11469.0,1655.0,-0.0,3.1,11428.4,1904.7,6174.8,300.3,4.9,1.8,546.3,8880.7,98.0,-0.1,-0.0,25.9,22689.0,443.2,0.0006314727
