approximate_timing,mean,max,diff,standard_deviation,variance,skewness,kurtosis,median_absolute,maximum_deviation,abs_mean,rms,peak_to_peak,prediction,label
3:23.6 - 3:25.1,36.7,10097.0,10060.3,2977.5,8865217.6,0.0,-0.1,2047.0,11284.7,2389.9,13.5,21345.0,0.9546136,1
3:25.1 - 3:26.6,42.5,23200.0,23157.5,2789.8,7783063.4,0.0,2.9,1625.0,23157.5,2083.4,17.6,-23593.0,0.9927383,1
3:26.6 - 3:28.0,37.2,18697.0,18659.8,2212.5,4895021.7,-0.0,4.1,1078.0,18659.8,1538.4,22.4,-32417.0,0.04841736,0
3:28.0 - 3:29.5,38.1,11817.0,11778.9,1997.0,3988098.8,0.0,1.5,1217.0,11778.9,1526.1,22.9,22677.0,0.06049312,0
3:29.5 - 3:31.0,31.3,10245.0,10213.7,2865.0,8208086.9,-0.0,0.1,1891.0,10802.3,2269.3,15.9,21016.0,0.9255359,0
3:31.0 - 3:32.5,43.7,9742.0,9698.3,2955.7,8736085.8,-0.1,0.2,1860.0,10577.7,2313.3,14.5,20276.0,0.23233506,0
3:32.5 - 3:34.0,35.9,25555.0,25519.1,2683.3,7199892.1,0.1,3.8,1404.0,25519.1,1932.9,19.1,-17335.0,0.6466003,1
3:34.0 - 3:35.5,37.1,9962.0,9924.9,2231.3,4978778.2,0.1,0.5,1444.0,9924.9,1748.3,18.2,18144.0,0.6959354,0
3:35.5 - 3:37.0,52.0,11241.0,11189.0,2508.9,6294549.8,0.0,0.7,1577.0,11189.0,1946.6,17.1,22036.0,0.16762353,0
3:37.0 - 3:38.4,32.1,27377.0,27344.9,3108.4,9661843.6,0.1,1.4,1943.0,27344.9,2403.8,17.1,-18858.0,0.7687489,0
3:38.4 - 3:39.9,38.7,20483.0,20444.3,2608.1,6802178.0,-0.0,4.5,1132.0,20527.7,1755.4,22.7,-24564.0,0.3048654,1
3:39.9 - 3:41.4,39.8,14115.0,14075.2,1889.2,3568915.7,-0.1,3.7,1086.0,14075.2,1391.7,21.8,27493.0,0.035375323,1
3:41.4 - 3:42.9,34.1,10049.0,10014.9,1906.6,3635217.6,-0.1,0.4,1200.0,12044.1,1484.8,19.5,22059.0,0.06015464,0
3:42.9 - 3:44.4,38.5,14277.0,14238.5,2714.5,7368779.0,0.0,0.7,1665.0,15992.5,2088.7,19.7,30231.0,0.6329331,1
3:44.4 - 3:45.9,36.6,22931.0,22894.4,2979.1,8875210.2,0.1,2.1,1788.0,22894.4,2252.5,16.3,-23386.0,0.9503746,0
3:45.9 - 3:47.4,39.6,12203.0,12163.4,1608.4,2586991.4,-0.1,2.1,895.0,13635.6,1192.9,24.6,25799.0,0.0015632296,1
3:47.4 - 3:48.8,32.4,13600.0,13567.6,2261.5,5114358.2,0.0,1.2,1448.0,13567.6,1752.6,19.7,25997.0,0.291145,1
3:48.8 - 3:50.3,40.8,16059.0,16018.2,2205.2,4862808.0,-0.1,2.6,1348.0,19357.8,1673.6,19.9,-30160.0,0.9066766,1
3:50.3 - 3:51.8,37.3,15842.0,15804.7,2524.7,6374348.8,-0.1,2.0,1529.0,24483.3,1918.1,19.4,-25248.0,0.81048405,1
3:51.8 - 3:53.3,39.1,10840.0,10800.9,2237.0,5004247.5,-0.0,0.3,1485.0,11015.1,1770.5,18.7,21816.0,0.09766824,1
3:53.3 - 3:54.8,36.8,23981.0,23944.2,2761.1,7623423.8,0.1,4.0,1477.0,23944.2,1987.0,16.2,-22552.0,0.9001392,0
3:54.8 - 3:56.3,39.8,14084.0,14044.2,1566.5,2454003.5,0.0,5.6,878.0,15509.8,1141.5,24.2,29554.0,0.0026376168,0
3:56.3 - 3:57.8,38.6,26732.0,26693.4,2741.4,7515193.8,0.2,7.7,1112.0,26693.4,1768.7,22.4,-17142.0,0.3785,1
3:57.8 - 3:59.2,39.7,23825.0,23785.3,2660.9,7080440.6,0.0,5.6,1156.0,23785.3,1784.4,22.8,-21765.0,0.9429012,1
3:59.2 - 4:0.7,37.4,24382.0,24344.6,2191.4,4802061.6,0.0,10.5,825.0,24344.6,1362.0,27.0,-21641.0,0.55183804,1
4:0.7 - 4:2.2,39.8,24540.0,24500.2,2070.2,4285796.5,0.0,13.1,719.0,24500.2,1234.0,30.3,-19199.0,0.7698433,1
4:2.2 - 4:3.7,40.2,24726.0,24685.8,2433.5,5922036.8,-0.1,10.1,869.0,24685.8,1499.1,27.1,-17581.0,0.98935366,1
4:3.7 - 4:5.2,37.7,17418.0,17380.3,1370.1,1877094.7,-0.0,11.0,640.0,18044.7,918.4,30.2,-30111.0,0.0010999459,1
4:5.2 - 4:6.7,36.8,26850.0,26813.2,3277.5,10741693.6,0.1,5.0,1264.0,26813.2,2137.7,22.7,-17773.0,0.48469776,0
4:6.7 - 4:8.2,39.2,25710.0,25670.8,2417.4,5843960.0,0.0,8.2,997.0,25670.8,1568.2,25.4,-17709.0,0.9157576,1
4:8.2 - 4:9.6,36.1,24455.0,24418.9,2128.2,4529293.7,-0.1,10.8,796.0,24418.9,1316.4,27.2,-18315.0,0.088071726,1
4:9.6 - 4:11.1,36.1,25423.0,25386.9,2457.1,6037368.2,0.1,10.4,827.0,25386.9,1481.1,27.3,-18269.0,0.64808136,1
4:11.1 - 4:12.6,38.9,19593.0,19554.1,1763.3,3109076.1,-0.0,9.8,690.0,19554.1,1110.6,29.3,-29725.0,0.013758805,1
4:12.6 - 4:14.1,38.1,26180.0,26141.9,2245.7,5043348.5,0.1,11.1,777.0,26141.9,1365.6,26.6,-16316.0,0.41764024,1
4:14.1 - 4:15.6,62.0,9496.0,9434.0,2349.5,5520015.7,0.1,0.7,1280.0,9434.0,1755.0,22.3,18633.0,0.07734545,0
4:15.6 - 4:17.1,74.1,12455.0,12380.9,2761.4,7625407.5,0.0,0.3,1818.0,14838.1,2178.3,18.2,27219.0,0.024136323,1
4:17.1 - 4:18.6,80.0,13566.0,13486.0,2169.0,4704745.9,-0.1,2.8,1225.0,14092.0,1607.0,20.5,27578.0,0.35486156,0
